LOCALITY,PRECINCT,Location_Name,Address,Full_Address_Line_2,City,State,Zip
AMHERST COUNTY,101 - WRIGHT SHOP,SCOTT ZION BAPTIST CHURCH,2579 Galts Mill Rd,,Madison Heights,VA,24572
AMHERST COUNTY,102 - NEW GLASGOW,CENTRAL ELEM SCHOOL,575 Union Hill Rd,,Amherst,VA,245214042
AMHERST COUNTY,103 - COOLWELL,COOLWELL RECREATION CENTER,648 NORTH COOLWELL ROAD,,Amherst,VA,24521
AMHERST COUNTY,201 - COURT HOUSE,AMHERST ELEM SCHOOL,156 Davis St,,Amherst,VA,245213267
AMHERST COUNTY,201 - COURT HOUSE,AMHERST ELEM SCHOOL,156 Davis St,,Amherst,VA,245213267
AMHERST COUNTY,202 - TEMPERANCE,TEMPERANCE ELEM SCHOOL,1981 Lowesville Rd,,Amherst,VA,245214231
AMHERST COUNTY,301 - MONROE,The Monroe Community Center,129 Francis Ave,,Monroe,VA,24574
AMHERST COUNTY,302 - ELON,ELON ELEM SCHOOL,147 Younger Dr,,Madison Heights,VA,245726062
AMHERST COUNTY,302 - ELON,ELON ELEM SCHOOL,147 Younger Dr,,Madison Heights,VA,245726062
AMHERST COUNTY,303 - PLEASANT VIEW,PLEASANT VIEW ELEM SCHOOL,229 Dancing Creek Rd,,Monroe,VA,245743054
AMHERST COUNTY,401 - AMELON,AMELON ELEM SCHOOL,132 Amer Cir,,Madison Heights,VA,245722613
AMHERST COUNTY,401 - AMELON,AMELON ELEM SCHOOL,132 Amer Cir,,Madison Heights,VA,245722613
AMHERST COUNTY,402 - LONCO,AMHERST MONROE RURITAIN CLUB,115 Bruner Rd.,,Monroe,VA,24574
AMHERST COUNTY,501 - MADISON,MONELISON MIDDLE SCHOOL,257 Trojan Rd,,Madison Heights,VA,245725346
AUGUSTA COUNTY,101 - JOLIVUE,VICTORY WORSHIP CENTER,200 Hammond Ln,,Staunton,VA,24401
AUGUSTA COUNTY,102 - STUARTS DRAFT ELEMENTARY,STUARTS DRAFT ELEMENTARY SCHOOL,63 School Blvd,,Stuarts Draft,VA,244773202
AUGUSTA COUNTY,103 - VERONA,AUGUSTA COUNTY GOVT CENTER,18 Government Center Ln,,Verona,VA,244822639
AUGUSTA COUNTY,201 - CRIMORA,HUGH K. CASSELL ELEMENTARY SCHOOL,1301 Rockfish Rd,,Waynesboro,VA,22980
AUGUSTA COUNTY,202 - NEW HOPE,NEW HOPE UNITED METHODIST CHURCH,55 Round Hill School Rd,,Fort Defiance,VA,244372133
AUGUSTA COUNTY,203 - WEYERS CAVE,WEYERS CAVE COMMUNITY CENTER,682 Weyers Cave Rd,,Weyers Cave,VA,244862413
AUGUSTA COUNTY,301 - FORT DEFIANCE,CLYMORE ELEMENTARY SCHOOL,184 Fort Defiance Rd,,Fort Defiance,VA,244372001
AUGUSTA COUNTY,302 - NORTH RIVER,NORTH RIVER ELEMENTARY SCHOOL,3395 Scenic Hwy,,Mount Solon,VA,228432612
AUGUSTA COUNTY,303 - MOUNT SOLON,SANGERVILLE TOWERS RURITAN HALL,38 Emmanuel Church Rd,,Mount Solon,VA,228432036
AUGUSTA COUNTY,304 - CHURCHVILLE FIRE STATION,CHURCHVILLE FIRE STATION,3829 Churchville Ave,,Churchville,VA,244212501
